"Timestamp","Distance Filter","Accuracy","Speed","Course","Distance","Latitude","Longitude"
2017-08-26_08:41:57,0,10,6,234,2,33.86383,-118.39838
2017-08-26_08:41:58,0,10,12,233,3,33.86382,-118.39840
2017-08-26_08:41:59,0,10,18,230,5,33.86379,-118.39844
2017-08-26_08:42:00,0,10,24,226,6,33.86376,-118.39848
2017-08-26_08:42:01,0,10,29,227,8,33.86371,-118.39854
2017-08-26_08:42:02,0,10,32,225,9,33.86366,-118.39860
2017-08-26_08:42:03,0,10,34,223,9,33.86360,-118.39867
2017-08-26_08:42:04,0,10,35,222,10,33.86354,-118.39874
2017-08-26_08:42:05,0,10,35,220,10,33.86348,-118.39881
2017-08-26_08:42:06,0,10,35,218,10,33.86341,-118.39887
2017-08-26_08:42:07,0,10,32,216,9,33.86334,-118.39893
2017-08-26_08:42:08,0,10,28,214,8,33.86329,-118.39898
2017-08-26_08:42:09,0,10,24,213,7,33.86324,-118.39902
2017-08-26_08:42:10,0,10,19,216,6,33.86320,-118.39905
2017-08-26_08:42:11,0,10,16,225,5,33.86317,-118.39909
2017-08-26_08:42:12,0,10,16,248,5,33.86315,-118.39914
2017-08-26_08:42:13,0,10,15,269,5,33.86315,-118.39918
2017-08-26_08:42:14,0,10,15,288,5,33.86316,-118.39922
2017-08-26_08:42:15,0,10,15,305,4,33.86318,-118.39925
2017-08-26_08:42:16,0,10,17,321,5,33.86321,-118.39928
2017-08-26_08:42:17,0,10,20,337,5,33.86325,-118.39930
2017-08-26_08:42:18,0,10,23,344,7,33.86331,-118.39932
2017-08-26_08:42:19,0,10,27,346,8,33.86337,-118.39934
2017-08-26_08:42:20,0,10,30,347,8,33.86344,-118.39936
2017-08-26_08:42:21,0,10,31,347,9,33.86351,-118.39938
2017-08-26_08:42:22,0,10,33,348,10,33.86359,-118.39940
2017-08-26_08:42:23,0,10,34,348,10,33.86367,-118.39942
2017-08-26_08:42:24,0,10,34,349,10,33.86376,-118.39944
2017-08-26_08:42:25,0,10,35,349,10,33.86384,-118.39946
2017-08-26_08:42:26,0,10,37,349,10,33.86393,-118.39948
2017-08-26_08:42:27,0,10,38,350,11,33.86403,-118.39950
2017-08-26_08:42:28,0,10,40,350,11,33.86412,-118.39953
2017-08-26_08:42:29,0,10,40,349,11,33.86422,-118.39955
2017-08-26_08:42:30,0,10,39,349,11,33.86431,-118.39958
2017-08-26_08:42:31,0,10,39,350,11,33.86441,-118.39960
2017-08-26_08:42:32,0,10,39,350,11,33.86451,-118.39962
2017-08-26_08:42:33,0,10,39,349,12,33.86460,-118.39965
2017-08-26_08:42:34,0,10,37,348,11,33.86469,-118.39967
2017-08-26_08:42:35,0,10,35,348,10,33.86478,-118.39970
2017-08-26_08:42:36,0,10,34,349,10,33.86486,-118.39972
2017-08-26_08:42:37,0,10,32,350,10,33.86494,-118.39973
2017-08-26_08:42:38,0,10,30,351,9,33.86502,-118.39975
2017-08-26_08:42:39,0,10,26,352,8,33.86508,-118.39977
2017-08-26_08:42:40,0,10,21,353,7,33.86514,-118.39977
2017-08-26_08:42:41,0,10,17,352,6,33.86519,-118.39978
2017-08-26_08:42:42,0,10,13,351,4,33.86522,-118.39979
2017-08-26_08:42:43,0,10,8,350,3,33.86524,-118.39980
2017-08-26_08:42:44,0,10,5,347,2,33.86526,-118.39980
2017-08-26_08:42:45,0,10,9,340,3,33.86527,-118.39981
2017-08-26_08:42:46,0,10,14,325,4,33.86530,-118.39983
2017-08-26_08:42:47,0,10,16,304,5,33.86533,-118.39986
2017-08-26_08:42:48,0,10,21,282,6,33.86533,-118.39992
2017-08-26_08:42:49,0,10,28,268,9,33.86533,-118.40001
2017-08-26_08:42:50,0,10,32,260,8,33.86531,-118.40009
2017-08-26_08:42:51,0,10,34,258,9,33.86530,-118.40018
2017-08-26_08:42:52,0,10,34,257,11,33.86528,-118.40029
2017-08-26_08:42:53,0,5,31,258,9,33.86526,-118.40037
2017-08-26_08:42:54,0,5,29,259,9,33.86525,-118.40046
2017-08-26_08:42:55,0,5,24,258,7,33.86524,-118.40054
2017-08-26_08:42:56,0,5,18,256,5,33.86523,-118.40059
2017-08-26_08:42:57,0,5,9,255,4,33.86522,-118.40063
2017-08-26_08:42:58,0,5,3,255,2,33.86522,-118.40064
2017-08-26_08:42:59,0,5,6,255,2,33.86522,-118.40065
2017-08-26_08:43:00,0,5,9,251,3,33.86521,-118.40067
2017-08-26_08:43:01,0,5,12,246,3,33.86520,-118.40070
2017-08-26_08:43:02,0,5,15,235,5,33.86518,-118.40074
2017-08-26_08:43:03,0,5,19,227,5,33.86515,-118.40077
2017-08-26_08:43:04,0,5,21,216,6,33.86511,-118.40081
2017-08-26_08:43:05,0,5,23,196,6,33.86506,-118.40083
2017-08-26_08:43:06,0,5,23,178,7,33.86500,-118.40083
2017-08-26_08:43:07,0,5,21,173,6,33.86495,-118.40082
2017-08-26_08:43:08,0,5,16,172,5,33.86491,-118.40082
2017-08-26_08:43:09,0,5,10,170,4,33.86488,-118.40081
2017-08-26_08:43:10,0,5,7,170,3,33.86486,-118.40081
2017-08-26_08:43:11,0,5,6,173,2,33.86484,-118.40081
2017-08-26_08:43:12,0,5,6,180,2,33.86483,-118.40081
2017-08-26_08:43:13,0,5,10,197,3,33.86481,-118.40083
2017-08-26_08:43:14,0,5,13,212,4,33.86479,-118.40085
2017-08-26_08:43:15,0,5,13,236,4,33.86478,-118.40088
2017-08-26_08:43:16,0,5,17,253,5,33.86477,-118.40093
2017-08-26_08:43:17,0,5,21,253,6,33.86476,-118.40099
2017-08-26_08:43:18,0,5,24,252,7,33.86474,-118.40105
2017-08-26_08:43:19,0,5,26,253,8,33.86472,-118.40113
2017-08-26_08:43:20,0,5,27,254,7,33.86470,-118.40120
2017-08-26_08:43:21,0,5,28,254,8,33.86469,-118.40127
2017-08-26_08:43:22,0,5,28,258,9,33.86469,-118.40136
2017-08-26_08:43:23,0,5,27,258,7,33.86467,-118.40143
2017-08-26_08:43:24,0,5,26,258,8,33.86466,-118.40151
2017-08-26_08:43:25,0,5,25,258,6,33.86465,-118.40157
2017-08-26_08:43:26,0,5,24,258,7,33.86463,-118.40164
2017-08-26_08:43:27,0,5,20,258,5,33.86462,-118.40169
2017-08-26_08:43:28,0,5,15,258,4,33.86462,-118.40173
2017-08-26_08:43:29,0,5,10,258,4,33.86461,-118.40176
2017-08-26_08:43:30,0,5,7,258,2,33.86461,-118.40178
